Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Login,36576,20533,2,347736,48234.97,56.597%,.68560,2.71,0.07,4051.9
POST Login ,36398,12115,2,320966,36076.29,67.913%,.68228,2.60,0.06,3902.9
Navigate to Dashboard,36354,12904,2,323147,34417.75,72.526%,.68146,2.63,0.05,3954.0
Navigate to People Tab,35891,10667,2,316153,26558.77,71.801%,.67279,2.62,0.05,3982.2
Navigate to User Profile,35654,9474,3,341704,22039.76,71.366%,.66835,2.61,0.06,4005.4
Follow User,35400,8116,1,341704,19930.68,53.511%,.66359,2.62,0.07,4037.8
,22337,0,0,0,0.00,100.000%,.43058,0.36,0.00,861.0
Navigate to the Specific Space,34945,5196,2,319090,13342.55,52.671%,.65506,2.60,0.06,4059.8
Create New Post,12680,4969,2,137082,10563.30,55.757%,11.59438,44.09,0.61,3894.2
HTTP Request,20,10,7,15,2.17,0.000%,20.57613,118.09,4.66,5877.0
TOTAL,286255,10178,0,347736,29428.12,66.289%,5.36567,19.65,0.42,3749.3
