Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/humhub/index.php?r=dashboard%2Fdashboard,456,0,24000.0,25324.532262061293,8973.371900006896,45220.031100005144,42346.96052631579,0.6199701886547668,0.0,24000,26000,29000,31000,35000,38000,41000,42000,45000,45000,45000
GET,/humhub/index.php?r=polls%2Fpoll%2Fuser-list-results&pollId=1&answerId=2&cguid=31814e33-2f3f-489c-873a-ba9512943fff,240,0,23000.0,24651.33114708338,12484.451900003478,45537.722699998994,27208.466666666667,0.32630009929198256,0.0,23000,25000,28000,29000,34000,36000,40000,42000,46000,46000,46000
POST,/humhub/index.php?r=post%2Fpost%2Fpost&cguid=31814e33-2f3f-489c-873a-ba9512943fff,166,0,26000.0,27589.24050662642,18092.814799994812,54038.99939999974,40764.79518072289,0.2256909020102879,0.0,26000,28000,31000,32000,37000,41000,43000,51000,54000,54000,54000
GET,/humhub/index.php?r=space%2Fspace&cguid=31814e33-2f3f-489c-873a-ba9512943fff,288,114,25000.0,26639.360064583147,7095.243400006439,48314.31069999235,74325.19444444444,0.391560119150379,0.1549925471636917,25000,28000,30000,31000,35000,39000,42000,44000,48000,48000,48000
GET,/humhub/index.php?r=space%2Fspace&contentId=12&commentId=4&cguid=31814e33-2f3f-489c-873a-ba9512943fff,256,0,26000.0,27135.560429688376,5450.549199988018,46133.76250000147,63281.6953125,0.3480534392447814,0.0,26000,28000,31000,33000,36000,40000,42000,44000,46000,46000,46000
GET,/humhub/index.php?r=space%2Fspaces,178,0,24000.0,25443.34749438229,11040.909900009865,48117.438400004175,39956.38202247191,0.24200590697488705,0.0,24000,26000,28000,31000,36000,39000,41000,43000,48000,48000,48000
GET,/humhub/index.php?r=user%2Faccount%2Fedit,173,0,24000.0,25822.305471098098,9598.705299998983,46379.653700001654,56370.10404624278,0.2352079882396374,0.0,24000,27000,29000,31000,36000,39000,41000,45000,46000,46000,46000
POST,/humhub/index.php?r=user%2Faccount%2Fedit,168,0,25000.0,26571.590453571745,15201.491100000567,45416.011499997694,56370.583333333336,0.22841006950438777,0.0,25000,28000,30000,31000,36000,39000,43000,43000,45000,45000,45000
GET,/humhub/index.php?r=user%2Fauth%2Flogin,162,0,8400.0,18311.973501852604,648.3923000050709,170002.17759999214,32350.216049382718,0.2202525670220882,0.0,8500,11000,14000,16000,17000,141000,162000,165000,170000,170000,170000
POST,/humhub/index.php?r=user%2Fauth%2Flogin,162,0,30000.0,29107.243667284005,2849.002400005702,67561.41170000774,42347.135802469136,0.2202525670220882,0.0,30000,33000,35000,37000,42000,50000,59000,62000,68000,68000,68000
GET,/humhub/index.php?r=user%2Fpeople,285,0,24000.0,25718.824311930137,9910.326699988218,46698.88070000161,45316.28771929825,0.38748136790922927,0.0,24000,26000,29000,30000,35000,39000,42000,44000,47000,47000,47000
POST,/humhub/index.php?r=user%2Fprofile%2Ffollow&cguid=cf0207ec-5178-46f1-952f-030265911a87,253,0,53000.0,52942.1498418971,35166.73290000472,78126.84139999328,63725.0790513834,0.34397468800363157,0.0,53000,56000,58000,61000,65000,69000,71000,77000,78000,78000,78000
GET,/humhub/index.php?r=user%2Fprofile&cguid=cf0207ec-5178-46f1-952f-030265911a87,274,0,27000.0,28246.82788905113,16619.814500008943,47416.04910000751,63726.92335766424,0.37252594669168004,0.0,27000,29000,31000,34000,37000,40000,44000,45000,47000,47000,47000
,Aggregated,3061,114,25000.0,28183.25189091818,648.3923000050709,170002.17759999214,50685.145050637046,4.161685849719827,0.1549925471636917,25000,29000,32000,35000,42000,51000,61000,68000,162000,170000,170000
